started,wait,duration,text
2/1/17 17:26,0:01:00,0:00:01,"17:26PM 04453099523462400194769663@web.libraryh3lp.com: Hi, I wanted to checkout a book but am not on campus right now. I will reach tomorrow. Is there a way to prebook or something?
17:27PM 04453099523462400194769663@web.libraryh3lp.com: This is the book: http://search.library.cmu.edu/vufind/Record/1480587/Holdings#tabnav
17:27PM askandyver2@chat.libraryh3lp.com: Let me see if I can find it on the shelf.  We're still unpacking
"
2/20/17 7:56,0:01:30,0:00:01,"07:56AM +14127098077@twilio.libraryh3lp.com: offline message sent 21 hours and 31 minutes ago
07:56AM +14127098077@twilio.libraryh3lp.com: Hi, I am doing some research and I found a link which requires access to ProQuest in order to read the article. Does CMU have access to this site, and would I be able to access it off campus?
07:57AM cmu-texting@chat.libraryh3lp.com: Hi, yes, the Libraries subscribes to Proquest.  Go to the Libraries' homepage www.library.cmu.edu and click on Research Databases (under the search box, also listed Under Search and Find). Click P for proquest.  If you're off campus you'll be prompted for your Andrew user ID and psswd.
"
6/1/16 13:05,0:02:49,0:00:01,"13:05PM +14436361603@twilio.libraryh3lp.com: offline message sent 40 minutes ago
13:05PM +14436361603@twilio.libraryh3lp.com: How can we access the hoovers website through CMU libraries? I was unable to find it in the list of databases
13:08PM cmu-texting@chat.libraryh3lp.com: Please go to the Library page http://www.library.cmu.edu/ and select Research Databases and click on H and select Hoovers.
"
11/11/15 9:07,0:06:25,0:00:01,"09:07AM 30663949299342195104597088@web.libraryh3lp.com: I am the assistant to the CMU Treasurer, Jay Calhoun.  I would like to research some online articles, books, etc in the CMU Library.  How can I access to do online search?  Thank you.
09:13AM askandyver2@chat.libraryh3lp.com: Just FYI all .. I am following up with Jay 
"
8/24/15 15:58,0:10:35,0:00:01,"15:58PM 59889594109216035951265194@web.libraryh3lp.com: Hello! Are you there?
15:58PM 59889594109216035951265194@web.libraryh3lp.com: I found a textbook (URL: http://vufind.library.cmu.edu/vufind/Record/1041660/Holdings#tabnav). It shows it is located at Qatar Library. I wonder if I am able to borrow it at Pittsburgh?
16:08PM askandyver2@chat.libraryh3lp.com: hello
"
4/5/16 15:49,0:00:57,0:00:07,"15:49PM 41147415796022576568046283@web.libraryh3lp.com: Hello, is there a database for soil properties in the U.S. or globally?
15:49PM 41147415796022576568046283@web.libraryh3lp.com: I was trying to find soil organic content and soil temperature range. There isn't much research paper on the internet for this area, since it's already well measured. 
15:49PM askandyver2@chat.libraryh3lp.com: hi .. please email sciref@andrew.cmu.edu for a science librarian
15:50PM 41147415796022576568046283@web.libraryh3lp.com: Thanks!
"
3/1/17 15:57,0:00:23,0:00:30,"15:57PM 11853492010844036743791208@web.libraryh3lp.com: I am doing some genealogy research and think I have identified a lead in a CM yearbook.  I just need two or three pages copied.  Do you have  a service for that?
15:57PM askandyver2@chat.libraryh3lp.com: Hello.
15:58PM askandyver2@chat.libraryh3lp.com: You should contact the University Archives. http://www.library.cmu.edu/find/unique/archives
"
3/24/17 11:11,0:00:07,0:00:39,"11:11AM 25138304805956194778771730@web.libraryh3lp.com: ok thanks for the help 
11:11AM askandyver2@chat.libraryh3lp.com: You are very welcome
11:11AM askandyver2@chat.libraryh3lp.com: Here is a link to CLP's business resources
11:11AM askandyver2@chat.libraryh3lp.com: http://www.carnegielibrary.org/research/?subject-id=86&audience-id=All+Ages&keyword=
11:12AM askandyver2@chat.libraryh3lp.com: They have ReferenceUSA and Hoover's within a database called Mergent Intellect
"
